Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
vit,K80,TinyImageNet,0,4.5824496148368015
vit,K80,cifar100,0,4.256727642205215
vit,K80,cifar10,0,1.89003081756985
vit,K80,TinyImageNet,1,4.400014020475022
vit,K80,cifar100,1,3.971400184935552
vit,K80,cifar10,1,1.7939837712378124
vit,K80,TinyImageNet,2,4.23151787079415
vit,K80,cifar100,2,3.732269506136371
vit,K80,cifar10,2,1.6985218697130384
vit,K80,TinyImageNet,3,4.072916701353975
vit,K80,cifar100,3,3.5021497676310176
vit,K80,cifar10,3,1.613168778787144
vit,K80,TinyImageNet,4,3.9324951838845217
vit,K80,cifar100,4,3.333349209261473
vit,K80,cifar10,4,1.5572834486145344
vit,K80,TinyImageNet,5,3.869605753193551
vit,K80,cifar100,5,3.1441679456078324
vit,K80,cifar10,5,1.4481302560319738
vit,K80,TinyImageNet,6,3.747003001742921
vit,K80,cifar100,6,2.982660660378504
vit,K80,cifar10,6,1.4248084308367472
vit,K80,TinyImageNet,7,3.6426018606510304
vit,K80,cifar100,7,2.860638100128352
vit,K80,cifar10,7,1.3435287389878254
vit,K80,TinyImageNet,8,3.585190598689908
vit,K80,cifar100,8,2.72698336955064
vit,K80,cifar10,8,1.2977991411296212
vit,K80,TinyImageNet,9,3.502417223527178
vit,K80,cifar100,9,2.6230362246888124
vit,K80,cifar10,9,1.2413717540485376
vit,K80,TinyImageNet,10,3.4488009060581715
vit,K80,cifar100,10,2.517750112491714
vit,K80,cifar10,10,1.1890998644935782
vit,K80,TinyImageNet,11,3.396624251889404
vit,K80,cifar100,11,2.463196283344877
vit,K80,cifar10,11,1.1471681635940894
vit,K80,TinyImageNet,12,3.3488476184343843
vit,K80,cifar100,12,2.380229219113223
vit,K80,cifar10,12,1.0839665364663742
vit,K80,TinyImageNet,13,3.337543846302564
vit,K80,cifar100,13,2.3094832855238283
vit,K80,cifar10,13,1.0348670045415431
vit,K80,TinyImageNet,14,3.3212643481259905
vit,K80,cifar100,14,2.267497439656963
vit,K80,cifar10,14,1.0307878658324043
vit,K80,TinyImageNet,15,3.2757081097529346
vit,K80,cifar100,15,2.2425817831791632
vit,K80,cifar10,15,0.9946253631154988
vit,K80,TinyImageNet,16,3.2296789413516755
vit,K80,cifar100,16,2.182767803936556
vit,K80,cifar10,16,0.98213054421744
vit,K80,TinyImageNet,17,3.2105298954521
vit,K80,cifar100,17,2.1500953566264167
vit,K80,cifar10,17,0.9732541068984348
vit,K80,TinyImageNet,18,3.1727145988555385
vit,K80,cifar100,18,2.1182897145444413
vit,K80,cifar10,18,0.9255503384182788
vit,K80,TinyImageNet,19,3.1474415938171054
vit,K80,cifar100,19,2.1084323672099257
vit,K80,cifar10,19,0.9445526550969692
vit,K80,TinyImageNet,20,3.1171864268481926
vit,K80,cifar100,20,2.0879783988390845
vit,K80,cifar10,20,0.933190862909038
vit,K80,TinyImageNet,21,3.084871582350853
vit,K80,cifar100,21,2.034829532548101
vit,K80,cifar10,21,0.902634025952896
vit,K80,TinyImageNet,22,3.01814161756049
vit,K80,cifar100,22,2.0350143507940013
vit,K80,cifar10,22,0.9054103656502508
vit,K80,TinyImageNet,23,2.998196931328138
vit,K80,cifar100,23,2.014678961840388
vit,K80,cifar10,23,0.8921013744132636
vit,K80,TinyImageNet,24,2.939620419855642
vit,K80,cifar100,24,2.018425668983791
vit,K80,cifar10,24,0.8795383561019716
vit,K80,TinyImageNet,25,2.910752644353661
vit,K80,cifar100,25,1.9886683775300504
vit,K80,cifar10,25,0.8925829750533911
vit,K80,TinyImageNet,26,2.861474070197908
vit,K80,cifar100,26,1.9975794479304725
vit,K80,cifar10,26,0.8676599090897585
vit,K80,TinyImageNet,27,2.814480250034921
vit,K80,cifar100,27,2.002817815149092
vit,K80,cifar10,27,0.8670682969023251
vit,K80,TinyImageNet,28,2.764040279917772
vit,K80,cifar100,28,1.977613092690603
vit,K80,cifar10,28,0.8449630248795168
vit,K80,TinyImageNet,29,2.722486227367415
vit,K80,cifar100,29,1.975416441028572
vit,K80,cifar10,29,0.8601780959265813
vit,K80,TinyImageNet,30,2.7318007732309053
vit,K80,cifar100,30,1.9511782519455367
vit,K80,cifar10,30,0.8577567349982413
vit,K80,TinyImageNet,31,2.7249195085837394
vit,K80,cifar100,31,1.9381378880541
vit,K80,cifar10,31,0.8594855849438939
vit,K80,TinyImageNet,32,2.6861173353892016
vit,K80,cifar100,32,1.9628362195811
vit,K80,cifar10,32,0.8347067769722017
vit,K80,TinyImageNet,33,2.708695162288425
vit,K80,cifar100,33,1.9623650658617724
vit,K80,cifar10,33,0.8481947844270492
vit,K80,TinyImageNet,34,2.676908911315405
vit,K80,cifar100,34,1.943376497142976
vit,K80,cifar10,34,0.8244152822514301
vit,K80,TinyImageNet,35,2.667680812551777
vit,K80,cifar100,35,1.9509541130955248
vit,K80,cifar10,35,0.8645366143889598
vit,K80,TinyImageNet,36,2.640344821034296
vit,K80,cifar100,36,1.9035323951471588
vit,K80,cifar10,36,0.8734721428329746
vit,K80,TinyImageNet,37,2.675400417166193
vit,K80,cifar100,37,1.9460737777893768
vit,K80,cifar10,37,0.8755609523640712
vit,K80,TinyImageNet,38,2.6379218160639013
vit,K80,cifar100,38,1.8939425030191208
vit,K80,cifar10,38,0.8510464017572656
vit,K80,TinyImageNet,39,2.6534597226256835
vit,K80,cifar100,39,1.9138962496371583
vit,K80,cifar10,39,0.8486428957908263
vit,K80,TinyImageNet,40,2.6764104181375488
vit,K80,cifar100,40,1.882927934824257
vit,K80,cifar10,40,0.8628267339437848
vit,K80,TinyImageNet,41,2.653066762567101
vit,K80,cifar100,41,1.8845213525416704
vit,K80,cifar10,41,0.8412704859813248
vit,K80,TinyImageNet,42,2.629668453314015
vit,K80,cifar100,42,1.8235600016931368
vit,K80,cifar10,42,0.823512103204162
vit,K80,TinyImageNet,43,2.6284890393319444
vit,K80,cifar100,43,1.820301029966008
vit,K80,cifar10,43,0.8381484664383403
vit,K80,TinyImageNet,44,2.608881537745061
vit,K80,cifar100,44,1.787187805601622
vit,K80,cifar10,44,0.8042516196743275
vit,K80,TinyImageNet,45,2.612374123467675
vit,K80,cifar100,45,1.7910778479956442
vit,K80,cifar10,45,0.7948671757737213
vit,K80,TinyImageNet,46,2.6378792047878847
vit,K80,cifar100,46,1.7567701955003183
vit,K80,cifar10,46,0.7751711133197139
vit,K80,TinyImageNet,47,2.580775613264976
vit,K80,cifar100,47,1.7615500991394
vit,K80,cifar10,47,0.7909114757300717
vit,K80,TinyImageNet,48,2.5603684713047965
vit,K80,cifar100,48,1.7284657609214014
vit,K80,cifar10,48,0.7658504995687089
vit,K80,TinyImageNet,49,2.607919691752072
vit,K80,cifar100,49,1.7235270686509354
vit,K80,cifar10,49,0.7703834040541395
vit,K80,TinyImageNet,50,2.582809021894002
vit,K80,cifar100,50,1.690183757801152
vit,K80,cifar10,50,0.7885197390283037
vit,K80,TinyImageNet,51,2.57745022103643
vit,K80,cifar100,51,1.7047210810002558
vit,K80,cifar10,51,0.7844026350562466
vit,K80,TinyImageNet,52,2.5451181429086533
vit,K80,cifar100,52,1.698441933653435
vit,K80,cifar10,52,0.7514379521481964
vit,K80,TinyImageNet,53,2.571067650160695
vit,K80,cifar100,53,1.68721288410993
vit,K80,cifar10,53,0.729723495499063
vit,K80,TinyImageNet,54,2.5602631138969176
vit,K80,cifar100,54,1.6869146992372546
vit,K80,cifar10,54,0.7400770950258465
vit,K80,TinyImageNet,55,2.565338215382764
vit,K80,cifar100,55,1.6934986302587618
vit,K80,cifar10,55,0.7425617118529232
vit,K80,TinyImageNet,56,2.5965486064311696
vit,K80,cifar100,56,1.666894879716169
vit,K80,cifar10,56,0.7193015918128419
vit,K80,TinyImageNet,57,2.5693035016725285
vit,K80,cifar100,57,1.7109920831604477
vit,K80,cifar10,57,0.7194774749003912
vit,K80,TinyImageNet,58,2.580007254956097
vit,K80,cifar100,58,1.6808289728411652
vit,K80,cifar10,58,0.7159664351711602
vit,K80,TinyImageNet,59,2.5586722467549423
vit,K80,cifar100,59,1.6468481704867877
vit,K80,cifar10,59,0.7406366841201145
vit,K80,TinyImageNet,60,2.573733728675077
vit,K80,cifar100,60,1.689271600209799
vit,K80,cifar10,60,0.754218039481374
vit,K80,TinyImageNet,61,2.5725806208709745
vit,K80,cifar100,61,1.6787059168066931
vit,K80,cifar10,61,0.7250405062095063
vit,K80,TinyImageNet,62,2.557019809590338
vit,K80,cifar100,62,1.6564681891432742
vit,K80,cifar10,62,0.7220142497965368
vit,K80,TinyImageNet,63,2.562375547628037
vit,K80,cifar100,63,1.6625100063117912
vit,K80,cifar10,63,0.7051758772386804
vit,K80,TinyImageNet,64,2.511987562053379
vit,K80,cifar100,64,1.656478808123461
vit,K80,cifar10,64,0.715413441277088
vit,K80,TinyImageNet,65,2.552486881323913
vit,K80,cifar100,65,1.651849385882382
vit,K80,cifar10,65,0.6904852430926353
vit,K80,TinyImageNet,66,2.5165568754091305
vit,K80,cifar100,66,1.6338900865355357
vit,K80,cifar10,66,0.7216681506559413
vit,K80,TinyImageNet,67,2.4907049302297866
vit,K80,cifar100,67,1.6265528657473145
vit,K80,cifar10,67,0.679341154357224
vit,K80,TinyImageNet,68,2.5096135708485208
vit,K80,cifar100,68,1.6456548493600438
vit,K80,cifar10,68,0.6958530955930661
vit,K80,TinyImageNet,69,2.512116825056413
vit,K80,cifar100,69,1.6116345334216138
vit,K80,cifar10,69,0.6705454257345501
vit,K80,TinyImageNet,70,2.471651719746588
vit,K80,cifar100,70,1.6288835251454836
vit,K80,cifar10,70,0.6939562816496183
vit,K80,TinyImageNet,71,2.49946400197012
vit,K80,cifar100,71,1.6271876136513024
vit,K80,cifar10,71,0.7126510411145014
vit,K80,TinyImageNet,72,2.4762693084465885
vit,K80,cifar100,72,1.6358458636498157
vit,K80,cifar10,72,0.6882084231484566
vit,K80,TinyImageNet,73,2.491276669703656
vit,K80,cifar100,73,1.6018697660039312
vit,K80,cifar10,73,0.6601053771674079
vit,K80,TinyImageNet,74,2.4829066222709013
vit,K80,cifar100,74,1.59047672762833
vit,K80,cifar10,74,0.6864846433978148
vit,K80,TinyImageNet,75,2.464589624368876
vit,K80,cifar100,75,1.6187659527554883
vit,K80,cifar10,75,0.6890374684030539
vit,K80,TinyImageNet,76,2.5109036122737862
vit,K80,cifar100,76,1.6126409115147622
vit,K80,cifar10,76,0.6804433714810427
vit,K80,TinyImageNet,77,2.479586297381693
vit,K80,cifar100,77,1.6028743197640647
vit,K80,cifar10,77,0.682181597948397
vit,K80,TinyImageNet,78,2.464683394044545
vit,K80,cifar100,78,1.5841213795887958
vit,K80,cifar10,78,0.6572505762645533
vit,K80,TinyImageNet,79,2.4658714090261022
vit,K80,cifar100,79,1.5865440083672089
vit,K80,cifar10,79,0.6863310447604276
vit,K80,TinyImageNet,80,2.499110936555489
vit,K80,cifar100,80,1.5937091488054416
vit,K80,cifar10,80,0.6850203431384939
vit,K80,TinyImageNet,81,2.4425733937485714
vit,K80,cifar100,81,1.5684896408052054
vit,K80,cifar10,81,0.7041733992864245
vit,K80,TinyImageNet,82,2.479918016302887
vit,K80,cifar100,82,1.5626419193725969
vit,K80,cifar10,82,0.6730542457017981
vit,K80,TinyImageNet,83,2.459850618910308
vit,K80,cifar100,83,1.566287410651863
vit,K80,cifar10,83,0.6640550468794015
vit,K80,TinyImageNet,84,2.4658630001323294
vit,K80,cifar100,84,1.581794149551421
vit,K80,cifar10,84,0.702161837111445
vit,K80,TinyImageNet,85,2.471833514824441
vit,K80,cifar100,85,1.5700773677011115
vit,K80,cifar10,85,0.6553543878804255
vit,K80,TinyImageNet,86,2.463605128806824
vit,K80,cifar100,86,1.5182254659308474
vit,K80,cifar10,86,0.66417635985736
vit,K80,TinyImageNet,87,2.4590056145948505
vit,K80,cifar100,87,1.5425341112787838
vit,K80,cifar10,87,0.663693198947632
vit,K80,TinyImageNet,88,2.4748583933822483
vit,K80,cifar100,88,1.48825985740035
vit,K80,cifar10,88,0.6965744303900783
vit,K80,TinyImageNet,89,2.4470592207544035
vit,K80,cifar100,89,1.4845932341095462
vit,K80,cifar10,89,0.6813899986945521
vit,K80,TinyImageNet,90,2.4916098532665405
vit,K80,cifar100,90,1.474923932810231
vit,K80,cifar10,90,0.6786352942337252
vit,K80,TinyImageNet,91,2.481384590387599
vit,K80,cifar100,91,1.4824681190123907
vit,K80,cifar10,91,0.6596839285590267
vit,K80,TinyImageNet,92,2.4853392722973977
vit,K80,cifar100,92,1.4344486302365895
vit,K80,cifar10,92,0.6558815490001946
vit,K80,TinyImageNet,93,2.4667600326393178
vit,K80,cifar100,93,1.4070466385632028
vit,K80,cifar10,93,0.6689490397856347
vit,K80,TinyImageNet,94,2.4655524901828136
vit,K80,cifar100,94,1.3967525791257278
vit,K80,cifar10,94,0.66672976532419
vit,K80,TinyImageNet,95,2.4577682485682697
vit,K80,cifar100,95,1.356470758047234
vit,K80,cifar10,95,0.668324022596153
vit,K80,TinyImageNet,96,2.456984735426532
vit,K80,cifar100,96,1.3668558100445714
vit,K80,cifar10,96,0.6577200880645068
vit,K80,TinyImageNet,97,2.4592956601170486
vit,K80,cifar100,97,1.322773983377625
vit,K80,cifar10,97,0.6667502113394475
vit,K80,TinyImageNet,98,2.447461262656266
vit,K80,cifar100,98,1.3045890268334928
vit,K80,cifar10,98,0.6519944534704556
vit,K80,TinyImageNet,99,2.4376143946746702
vit,K80,cifar100,99,1.2934798714088405
vit,K80,cifar10,99,0.6680654270424304
vit,P100,TinyImageNet,0,4.43067917956848
vit,V100,TinyImageNet,0,4.730453665988116
vit,P100,TinyImageNet,1,4.270227935847689
vit,V100,TinyImageNet,1,4.563871321500651
vit,P100,TinyImageNet,2,4.119751432599371
vit,V100,TinyImageNet,2,4.382125700019689
vit,P100,TinyImageNet,3,4.037558622044692
vit,V100,TinyImageNet,3,4.265667601492225
vit,P100,TinyImageNet,4,3.867644942933077
vit,V100,TinyImageNet,4,4.110294629636926
vit,P100,TinyImageNet,5,3.781308858378826
vit,V100,TinyImageNet,5,3.9902183533563833
vit,P100,TinyImageNet,6,3.643486366828153
vit,V100,TinyImageNet,6,3.8570387947500446
vit,P100,TinyImageNet,7,3.5654771284706794
vit,V100,TinyImageNet,7,3.718258381378562
vit,P100,TinyImageNet,8,3.4704703827339687
vit,V100,TinyImageNet,8,3.637902027983208
vit,P100,TinyImageNet,9,3.401022302902906
vit,V100,TinyImageNet,9,3.522117933470289
vit,P100,TinyImageNet,10,3.3260586007524995
vit,V100,TinyImageNet,10,3.4258834237449927
vit,P100,TinyImageNet,11,3.257028936975068
vit,V100,TinyImageNet,11,3.350301120672999
vit,P100,TinyImageNet,12,3.224033435734442
vit,V100,TinyImageNet,12,3.312705805902719
vit,P100,TinyImageNet,13,3.154652880731994
