,Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
0,vit,K80,TinyImageNet,0,4.5824496148368015
1,vit,K80,cifar100,0,4.256727642205215
2,vit,K80,cifar10,0,1.8900308175698501
3,vit,K80,TinyImageNet,1,4.400014020475022
4,vit,K80,cifar100,1,3.9714001849355522
5,vit,K80,cifar10,1,1.7939837712378124
6,vit,K80,TinyImageNet,2,4.23151787079415
7,vit,K80,cifar100,2,3.732269506136371
8,vit,K80,cifar10,2,1.6985218697130384
9,vit,K80,TinyImageNet,3,4.072916701353975
10,vit,K80,cifar100,3,3.5021497676310176
11,vit,K80,cifar10,3,1.613168778787144
12,vit,K80,TinyImageNet,4,3.9324951838845217
13,vit,K80,cifar100,4,3.333349209261473
14,vit,K80,cifar10,4,1.5572834486145344
15,vit,K80,TinyImageNet,5,3.869605753193551
16,vit,K80,cifar100,5,3.1441679456078324
17,vit,K80,cifar10,5,1.4481302560319738
18,vit,K80,TinyImageNet,6,3.7470030017429212
19,vit,K80,cifar100,6,2.982660660378504
20,vit,K80,cifar10,6,1.4248084308367472
21,vit,K80,TinyImageNet,7,3.6426018606510304
22,vit,K80,cifar100,7,2.860638100128352
23,vit,K80,cifar10,7,1.3435287389878254
24,vit,K80,TinyImageNet,8,3.5851905986899077
25,vit,K80,cifar100,8,2.7269833695506396
26,vit,K80,cifar10,8,1.2977991411296212
27,vit,K80,TinyImageNet,9,3.502417223527178
28,vit,K80,cifar100,9,2.6230362246888124
29,vit,K80,cifar10,9,1.2413717540485376
30,vit,K80,TinyImageNet,10,3.4488009060581715
31,vit,K80,cifar100,10,2.517750112491714
32,vit,K80,cifar10,10,1.1890998644935782
33,vit,K80,TinyImageNet,11,3.3966242518894036
34,vit,K80,cifar100,11,2.463196283344877
35,vit,K80,cifar10,11,1.1471681635940894
36,vit,K80,TinyImageNet,12,3.3488476184343843
37,vit,K80,cifar100,12,2.380229219113223
38,vit,K80,cifar10,12,1.0839665364663742
39,vit,K80,TinyImageNet,13,3.3375438463025637
40,vit,K80,cifar100,13,2.3094832855238283
41,vit,K80,cifar10,13,1.0348670045415433
42,vit,K80,TinyImageNet,14,3.3212643481259905
43,vit,K80,cifar100,14,2.267497439656963
44,vit,K80,cifar10,14,1.0307878658324043
45,vit,K80,TinyImageNet,15,3.2757081097529346
46,vit,K80,cifar100,15,2.2425817831791632
47,vit,K80,cifar10,15,0.9946253631154989
48,vit,K80,TinyImageNet,16,3.2296789413516755
49,vit,K80,cifar100,16,2.1827678039365557
50,vit,K80,cifar10,16,0.9821305442174401
51,vit,K80,TinyImageNet,17,3.2105298954521
52,vit,K80,cifar100,17,2.1500953566264167
53,vit,K80,cifar10,17,0.9732541068984347
54,vit,K80,TinyImageNet,18,3.1727145988555385
55,vit,K80,cifar100,18,2.1182897145444413
56,vit,K80,cifar10,18,0.9255503384182788
57,vit,K80,TinyImageNet,19,3.1474415938171054
58,vit,K80,cifar100,19,2.1084323672099257
59,vit,K80,cifar10,19,0.9445526550969693
60,vit,K80,TinyImageNet,20,3.1171864268481926
61,vit,K80,cifar100,20,2.0879783988390845
